SCAFFOLD,AMOUNT,FREQUENCY,SCA_MOL,ID_SCAFFOLD,DATABASE
c1ccc(Cc2cccc(C3CCCCO3)c2)cc1,2,0.08605851979345956,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2da80>,MNCSN,FDA
c1ccc(CNc2ncccn2)cc1,2,0.08605851979345956,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2daf0>,55490,FDA
O=C1CCC2C1CCC1c3ccccc3CCC12,2,0.08605851979345956,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2db60>,VJR37,FDA
N=c1cc[nH]c(-c2nn(Cc3ccccc3)c3ncccc23)n1,2,0.08605851979345956,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2dbd0>,7XX0B,FDA
O=C1CCC2C1CCC1C3CCCCC3=CCC21,2,0.08605851979345956,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2dc40>,B3X77,FDA
N=c1cc[nH]c2ccccc12,2,0.08605851979345956,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2dcb0>,UGO8K,FDA
O=C1CCC2C(CCC3C4CCCC4CCC23)C1,2,0.08605851979345956,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2dd20>,GK1OL,FDA
O=C1CCCNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CN1,2,0.08605851979345956,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2dd90>,PAM4H,FDA
O=C1CCC2C(=CCC3C2CCC2C3CC3OCOC32)C1,2,0.08605851979345956,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2de00>,OK06B,FDA
O=C1CCN2CCc3ccccc3C2C1,2,0.08605851979345956,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2de70>,55Q0C,FDA
O=C1OCCN1c1ccc(-c2ccc(-c3nn[nH]n3)nc2)cc1,2,0.08605851979345956,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2dee0>,H6FRJ,FDA
O=C1CC(=O)NC(=S)N1,2,0.08605851979345956,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2df50>,TSZ71,FDA
O=S(=O)(c1ccccc1)c1ccccc1,2,0.08605851979345956,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2dfc0>,MOSJ5,FDA
O=C1CCO1,2,0.08605851979345956,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2e030>,K8KCX,FDA
O=c1cc[nH]c(=O)[nH]1,2,0.08605851979345956,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2e0a0>,IE1IZ,FDA
c1cc2c3c(c1)OC1CCCC4C(C2)NCCC314,2,0.08605851979345956,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2e110>,087LI,FDA
O=C(NC1OC2C3CCCN3C(=O)C(Cc3ccccc3)N2C1=O)C1CNC2Cc3c[nH]c4cccc(c34)C2C1,2,0.08605851979345956,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2e180>,WYI3T,FDA
O=c1[nH]cc[nH]1,2,0.08605851979345956,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2e1f0>,S2XNF,FDA
O=C(c1ccccc1)n1ccc2ccccc21,2,0.08605851979345956,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2e260>,O1MCA,FDA
O=C(NCC1CCCCO1)C1CCCN1,2,0.08605851979345956,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2e2d0>,T08N8,FDA
O=C(c1ccccc1)c1cccs1,2,0.08605851979345956,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2e340>,CC3RN,FDA
O=c1[nH]cnc2c1ncn2C1CCCO1,2,0.08605851979345956,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2e3b0>,LD6XB,FDA
O=C(OCc1ccccc1)c1ccccc1,2,0.08605851979345956,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2e420>,Y4JD5,FDA
O=c1c(CCN2CCC(c3noc4ccccc34)CC2)cnc2n1CCCC2,2,0.08605851979345956,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2e490>,DPKNL,FDA
S=c1[nH]cc[nH]1,2,0.08605851979345956,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2e500>,RQTIM,FDA
O=C1NCC(=O)N2CC(CC2C(=O)NC2(C(=O)NS(=O)(=O)C3CC3)CC2)Oc2nc3ccccc3nc2CCCCCC2CC2O1,2,0.08605851979345956,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2e570>,OCJ8Z,FDA
O=C1CCCCOC(=O)CC(OC2CCCCO2)CC(OC2CCCCO2)CCC1,2,0.08605851979345956,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2e5e0>,8A21Y,FDA
O=c1nc2[nH]c3ccccc3nc-2c(=O)[nH]1,2,0.08605851979345956,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2e650>,BF5JK,FDA
